"Comment :- clock reset to download data"

"The following data are the ID block contents"
"Firmware Version No",2
"Firmware Build Level",70


"The following data are the Tag notebook contents"
"Mission Day",405
"Last Deployment Date","08/08/2008 09:55:00"
"Deployed by Host Version"," 5.2.0"
"Downloaded by Host Version","6.0.0"
"Last Clock Set Date","05/01/2010 10:34:00"

"The following data are the Lifetime notebook contents"
"Tag ID","A03401"
"Pressure Range ",10
"No of sensors ",2

"The following data are the Deployment notebook contents"
"Start Date","Start Time","Stop Date","Stop Time","Logging Rate","Pointer","PA inc","sensors","Flags","Resolution","Fast Rate",,
"25/08/2008","00:01:00","25/08/2009","00:01:00",30,11776,6,2,0,12,0,0,0
"25/08/2008","00:01:00","25/08/2009","00:01:00",300,1588576,6,4,0,12,0,0,0
"25/08/2009","00:01:00","30/09/2010","00:02:00",300,1746256,12,6,0,12,0,0,0


"The following data are the Daylog contents"
"Mission Day","Date","Max Temp","Min Temp","Max Depth","Min Depth","Batt Volts"
52,"29/09/2008",16.516,16.344,38.53,24.18,3.08
53,"30/09/2008",16.375,16.188,31.43,23.5,3.08
54,"01/10/2008",16.25,16.109,29.84,19.75,3.08
55,"02/10/2008",16.125,15.875,30,18.75,3.08
56,"03/10/2008",15.953,15.516,25.21,19.81,3.08
57,"04/10/2008",15.813,15.172,36.25,24,3.08
58,"05/10/2008",15.594,14.594,45.34,8.43,3.08
59,"06/10/2008",15.531,14.781,69.12,9.62,3.08
60,"07/10/2008",15.359,14.688,28.59,18.65,3.08
61,"08/10/2008",15,14.578,24.03,18.96,3.08
62,"09/10/2008",15.125,14.641,40.71,20.09,3.08
63,"10/10/2008",15.344,14.781,36.96,28.96,3.08
64,"11/10/2008",15.359,14.984,36,23.62,3.08
65,"12/10/2008",15.375,15,32.53,26.21,3.08
66,"13/10/2008",15.453,15,42.59,27.53,3.08
67,"14/10/2008",15.453,14.984,46.03,23.28,3.08
68,"15/10/2008",15.453,15.047,53.4,34.28,3.08
69,"16/10/2008",15.422,15.016,52,24.4,3.08
70,"17/10/2008",15.297,14.875,48.53,34.78,3.08
71,"18/10/2008",15.234,14.828,53.12,48.53,3.08
72,"19/10/2008",15.188,14.828,55.09,47.84,3.08
73,"20/10/2008",15.125,14.766,52.46,40.09,3.08
74,"21/10/2008",15.047,14.641,55.53,30.68,3.08
75,"22/10/2008",14.891,14.469,39.21,25.25,3.08
76,"23/10/2008",14.844,14.234,44.75,33.4,3.08
77,"24/10/2008",14.844,14.531,66.68,42.5,3.08
78,"25/10/2008",14.844,14.516,55.4,34.71,3.08
79,"26/10/2008",14.813,14.594,44.25,33.34,3.08
80,"27/10/2008",14.75,14.516,42.34,36,3.08
81,"28/10/2008",14.578,14.391,40.25,35.43,3.08
82,"29/10/2008",14.453,14.172,42,36.65,3.08
83,"30/10/2008",14.25,13.984,43.03,32.9,3.08
84,"31/10/2008",13.984,13.641,37.78,35.43,3.08
85,"01/11/2008",13.719,13.359,38.84,36.09,3.08
86,"02/11/2008",13.531,13.234,39.15,36.93,3.08
87,"03/11/2008",13.422,13.094,44,37.78,3.08
88,"04/11/2008",13.359,13,45.15,39.18,3.08
89,"05/11/2008",13.234,12.875,48.81,40.81,3.08
90,"06/11/2008",13.047,12.703,44.62,39.81,3.08
91,"07/11/2008",12.844,12.547,45.28,41.4,3.08
92,"08/11/2008",13.406,12.531,47.84,40.71,3.08
93,"09/11/2008",13.344,12.766,44.81,41.34,3.08
94,"10/11/2008",12.953,12.719,44.65,40.34,3.08
95,"11/11/2008",13.172,12.641,43.4,40,3.08
96,"12/11/2008",13.156,12.578,43.37,40.03,3.08
97,"13/11/2008",13.125,12.25,46.06,42.09,3.08
98,"14/11/2008",13.125,12.234,52.68,41.87,3.08
99,"15/11/2008",13.125,12.25,51.12,41.37,3.08
100,"16/11/2008",13.156,12.297,50.56,46.68,3.08
101,"17/11/2008",13.156,12.359,53.59,47.25,3.08
102,"18/11/2008",13.125,12.359,56.34,47.53,3.08
103,"19/11/2008",13.125,12.359,58.5,49.06,3.08
104,"20/11/2008",13.156,12.344,58.62,53.12,3.08
105,"21/11/2008",13.172,12.375,59.03,55.75,3.08
106,"22/11/2008",13.125,12.656,58.62,56.84,3.08
107,"23/11/2008",13,12.547,59.78,57.25,3.08
108,"24/11/2008",12.922,12.609,60,57.43,3.08
109,"25/11/2008",12.781,12.344,60.53,57.28,3.08
110,"26/11/2008",12.656,12.281,60.28,57.06,3.08
111,"27/11/2008",12.609,12.484,61.37,57.25,3.08
112,"28/11/2008",12.578,12.469,62.43,58.34,3.08
113,"29/11/2008",12.516,12.359,62.25,48.34,3.08
114,"30/11/2008",12.375,12.234,63.93,54.53,3.08
115,"01/12/2008",12.234,12.109,64.56,53.81,3.08
116,"02/12/2008",12.109,12,65.12,53.18,3.08
117,"03/12/2008",12.047,11.953,66.56,56.37,3.08
118,"04/12/2008",12.016,11.891,67.21,58.06,3.08
119,"05/12/2008",11.938,11.781,69.46,61.03,3.08
120,"06/12/2008",11.844,11.719,70.53,62.75,3.08
121,"07/12/2008",11.875,11.672,70.81,65.71,3.08
122,"08/12/2008",11.828,11.672,70.78,65.75,3.08
123,"09/12/2008",11.781,11.594,72.21,67.18,3.08
124,"10/12/2008",11.594,11.469,72.06,64.15,3.08
125,"11/12/2008",11.531,11.422,72.18,67.9,3.08
126,"12/12/2008",11.5,11.391,72.68,67.68,3.07
127,"13/12/2008",11.563,11.375,72.75,67.15,3.08
128,"14/12/2008",11.547,11.422,73,67.12,3.08
129,"15/12/2008",11.438,11.313,72.71,67.37,3.08
130,"16/12/2008",11.328,11.266,72.65,67.65,3.07
131,"17/12/2008",11.297,11.203,72.34,67.87,3.07
132,"18/12/2008",11.25,11.203,72.25,68.09,3.08
133,"19/12/2008",11.219,11.156,72.09,68.43,3.07
134,"20/12/2008",11.203,11.156,71.71,68.59,3.08
135,"21/12/2008",11.188,11.141,71.56,68.84,3.07
136,"22/12/2008",11.188,11.125,71.53,68.84,3.08
137,"23/12/2008",11.141,11.125,71.46,68.71,3.08
138,"24/12/2008",11.141,11.094,71.62,68.46,3.08
139,"25/12/2008",11.094,11.016,71.84,68.4,3.08
140,"26/12/2008",11.047,10.922,71.96,68.12,3.08
141,"27/12/2008",10.953,10.813,72.09,68.06,3.08
142,"28/12/2008",10.859,10.688,72.03,68.03,3.08
143,"29/12/2008",10.734,10.609,72.06,67.96,3.08
144,"30/12/2008",10.641,10.469,72.15,68,3.07
145,"31/12/2008",10.516,10.344,72.21,68.03,3.07
146,"01/01/2009",10.438,10.266,72.25,68.12,3.07
147,"02/01/2009",10.359,10.172,71.96,68.21,3.07
148,"03/01/2009",10.281,10.125,72.15,68.12,3.07
149,"04/01/2009",10.234,10.078,71.87,68.34,3.07
150,"05/01/2009",10.172,10.063,71.56,68.71,3.07
151,"06/01/2009",10.109,9.953,71.53,68.71,3.07
152,"07/01/2009",9.984,9.875,71.4,68.62,3.07
153,"08/01/2009",9.906,9.844,71.56,68.34,3.07
154,"09/01/2009",9.844,9.766,71.96,68.03,3.07
155,"10/01/2009",9.781,9.656,72.21,67.71,3.07
156,"11/01/2009",9.719,9.563,72.62,67.37,3.07
157,"12/01/2009",9.625,9.5,73.37,66.62,3.07
158,"13/01/2009",9.594,9.422,73.25,66.93,3.07
159,"14/01/2009",9.547,9.375,73,67.15,3.07
160,"15/01/2009",9.516,9.344,73.15,67.28,3.07
161,"16/01/2009",9.438,9.266,72.56,67.37,3.07
162,"17/01/2009",9.563,9.281,72.34,68.03,3.07
163,"18/01/2009",9.875,9.453,72.25,67.96,3.07
164,"19/01/2009",9.891,9.781,72.31,68.59,3.07
165,"20/01/2009",9.875,9.781,71.62,68.31,3.07
166,"21/01/2009",9.938,9.766,71.68,68.78,3.07
167,"22/01/2009",10.047,9.875,71.62,68.71,3.07
168,"23/01/2009",10.063,9.953,71.9,68.4,3.07
169,"24/01/2009",10.016,9.906,72.4,68.18,3.07
170,"25/01/2009",10,9.781,72.9,67.71,3.07
171,"26/01/2009",9.984,9.734,73.37,67.37,3.07
172,"27/01/2009",9.953,9.734,72.59,67.71,3.07
173,"28/01/2009",9.891,9.734,72.65,67.62,3.07
174,"29/01/2009",9.875,9.703,72.71,67.5,3.07
175,"30/01/2009",9.828,9.703,72.62,67.65,3.07
176,"31/01/2009",9.797,9.547,72.37,67.68,3.07
177,"01/02/2009",9.734,9.266,72.15,67.93,3.07
178,"02/02/2009",9.438,9.094,72,68.15,3.07
179,"03/02/2009",9.281,9.109,71.65,68.59,3.07
180,"04/02/2009",9.281,9.094,71.68,68.81,3.07
181,"05/02/2009",9.344,9.109,71.81,68.75,3.07
182,"06/02/2009",9.313,9.047,71.43,68.53,3.07
183,"07/02/2009",9.125,8.891,71.78,68.18,3.07
184,"08/02/2009",9.047,8.781,72.28,67.93,3.07
185,"09/02/2009",9,8.766,72.65,67.56,3.07
186,"10/02/2009",9,8.734,73.31,66.68,3.07
187,"11/02/2009",8.922,8.609,73.15,67.03,3.07
188,"12/02/2009",8.813,8.078,73.15,67.25,3.07
189,"13/02/2009",8.609,7.891,73.03,67.28,3.07
190,"14/02/2009",8.5,7.859,72.71,67.62,3.07
191,"15/02/2009",8.406,7.844,72.18,68,3.07
192,"16/02/2009",8.453,7.906,71.75,68.53,3.07
193,"17/02/2009",8.594,8.266,71.5,68.93,3.07
194,"18/02/2009",8.625,8.063,71.4,69.25,3.07
195,"19/02/2009",8.766,8.109,71.09,69.4,3.07
196,"20/02/2009",8.922,8.375,71.31,69.15,3.07
197,"21/02/2009",8.984,8.328,71.75,68.65,3.07
198,"22/02/2009",9,8.609,72.03,68.5,3.07
199,"23/02/2009",8.922,8.625,72.18,68.15,3.07
200,"24/02/2009",8.875,8.594,72.37,67.93,3.07
201,"25/02/2009",8.813,8.594,72.62,67.75,3.07
202,"26/02/2009",8.719,8.547,72.71,67.59,3.07
203,"27/02/2009",8.656,8.453,72.68,67.5,3.07
204,"28/02/2009",8.563,8.297,72.71,67.5,3.07
205,"01/03/2009",8.484,8.266,72.71,67.62,3.07
206,"02/03/2009",8.391,8.266,72.37,67.71,3.07
207,"03/03/2009",8.344,8.266,71.96,68.18,3.07
208,"04/03/2009",8.938,8.266,71.65,68.34,3.07
209,"05/03/2009",9.109,8.297,71.62,68.75,3.07
210,"06/03/2009",8.734,8.234,71.31,69.03,3.07
211,"07/03/2009",8.922,8.266,71.62,68.84,3.07
212,"08/03/2009",9.266,8.375,72.21,68.25,3.07
213,"09/03/2009",9.281,8.828,72.62,67.84,3.07
214,"10/03/2009",9.328,8.984,72.9,67.56,3.07
215,"11/03/2009",9.328,9.016,73.06,67.34,3.07
216,"12/03/2009",9.344,9.109,73.12,67.21,3.07
217,"13/03/2009",9.344,9.156,72.96,67.21,3.07
218,"14/03/2009",9.375,9.125,72.75,67.34,3.07
219,"15/03/2009",9.344,9.109,72.68,67.46,3.07
220,"16/03/2009",9.281,9.094,72.12,68.03,3.07
221,"17/03/2009",9.266,9.094,71.78,68.4,3.07
222,"18/03/2009",9.281,9.125,71.46,68.84,3.07
223,"19/03/2009",9.313,9.172,71.18,69.34,3.07
224,"20/03/2009",9.344,9.266,71.03,69.62,3.07
225,"21/03/2009",9.375,9.313,71.12,69.43,3.07
226,"22/03/2009",9.391,9.344,71.4,69.03,3.07
227,"23/03/2009",9.438,9.344,71.75,68.65,3.07
228,"24/03/2009",9.438,9.313,72.06,68.12,3.07
229,"25/03/2009",9.422,9.313,72.31,67.9,3.07
230,"26/03/2009",9.391,9.281,72.56,67.71,3.07
231,"27/03/2009",9.422,9.219,72.75,67.53,3.07
232,"28/03/2009",9.422,9.203,72.68,67.37,3.07
233,"29/03/2009",9.438,9.109,72.71,67.53,3.07
234,"30/03/2009",9.328,9.094,72.65,67.71,3.07
235,"31/03/2009",9.328,9,72.28,67.93,3.07
236,"01/04/2009",9.266,8.953,71.96,68.21,3.07
237,"02/04/2009",9.203,8.953,71.68,68.56,3.07
238,"03/04/2009",9.109,8.922,71.65,69,3.07
239,"04/04/2009",9.109,8.938,71.46,69.06,3.07
240,"05/04/2009",9.125,8.953,71.71,68.78,3.07
241,"06/04/2009",9.219,8.984,72.15,68.34,3.07
242,"07/04/2009",9.438,9.063,72.5,68.03,3.07
243,"08/04/2009",9.625,9.125,72.68,67.65,3.07
244,"09/04/2009",9.719,9.234,72.93,67.71,3.07
245,"10/04/2009",9.781,9.328,72.96,67.53,3.07
246,"11/04/2009",9.781,9.422,72.81,67.53,3.07
247,"12/04/2009",9.781,9.484,72.65,67.75,3.07
248,"13/04/2009",9.781,9.563,72.43,68.03,3.07
249,"14/04/2009",9.828,9.656,72.37,68.25,3.07
250,"15/04/2009",9.828,9.703,71.9,68.53,3.07
251,"16/04/2009",9.844,9.672,71.59,69,3.07
252,"17/04/2009",9.891,9.797,71.43,69.37,3.07
253,"18/04/2009",9.891,9.719,71.31,69.65,3.07
254,"19/04/2009",9.828,9.672,71.28,69.56,3.07
255,"20/04/2009",9.938,9.703,71.56,69.18,3.07
256,"21/04/2009",9.938,9.781,71.87,68.78,3.07
257,"22/04/2009",9.953,9.781,72.21,68.46,3.07
258,"23/04/2009",10,9.797,72.46,68.18,3.07
259,"24/04/2009",10.125,9.906,72.71,67.93,3.07
260,"25/04/2009",10.281,10.047,72.96,67.81,3.07
261,"26/04/2009",10.297,10.063,72.96,67.75,3.07
262,"27/04/2009",10.328,10.125,72.84,67.75,3.07
263,"28/04/2009",10.328,10.219,72.75,67.81,3.07
264,"29/04/2009",10.328,10.234,72.62,68.06,3.07
265,"30/04/2009",10.328,10.266,72.31,68.46,3.07
266,"01/05/2009",10.359,10.281,72.09,68.71,3.07
267,"02/05/2009",10.406,10.328,72.06,68.65,3.07
268,"03/05/2009",10.438,10.344,72.03,68.93,3.07
269,"04/05/2009",10.5,10.391,71.96,68.9,3.07
270,"05/05/2009",10.563,10.453,72.15,68.59,3.07
271,"06/05/2009",10.641,10.516,72.37,68.4,3.07
272,"07/05/2009",10.688,10.578,72.59,68.15,3.07
273,"08/05/2009",10.734,10.625,72.78,68.15,3.07
274,"09/05/2009",10.75,10.688,72.75,68.09,3.07
275,"10/05/2009",10.844,10.734,72.71,68.15,3.07
276,"11/05/2009",10.859,10.75,72.62,68.28,3.07
277,"12/05/2009",10.875,10.781,72.53,68.31,3.07
278,"13/05/2009",10.813,10.781,72.37,68.59,3.07
279,"14/05/2009",10.844,10.781,72.21,68.84,3.07
280,"15/05/2009",10.922,10.813,72,68.84,3.07
281,"16/05/2009",11.031,10.922,72.18,68.87,3.07
282,"17/05/2009",11.094,11.016,72.06,69.34,3.07
283,"18/05/2009",11.125,11.078,71.87,69.46,3.07
284,"19/05/2009",11.188,11.125,71.75,69.5,3.07
285,"20/05/2009",11.203,11.141,71.93,69.21,3.07
286,"21/05/2009",11.25,11.203,72.15,68.87,3.07
287,"22/05/2009",11.313,11.25,72.46,68.59,3.07
288,"23/05/2009",11.391,11.266,72.59,68.21,3.08
289,"24/05/2009",11.547,11.359,72.78,68.09,3.08
290,"25/05/2009",11.609,11.5,72.9,67.9,3.07
291,"26/05/2009",11.672,11.594,72.9,67.84,3.07
292,"27/05/2009",11.703,11.641,73.28,68.25,3.07
293,"28/05/2009",11.781,11.609,73.15,68.37,3.07
294,"29/05/2009",11.891,11.656,72.96,68.56,3.07
295,"30/05/2009",11.953,11.813,72.71,68.75,3.08
296,"31/05/2009",12.016,11.938,72.56,68.93,3.08
297,"01/06/2009",13.219,12,72.43,1.28,3.08
298,"02/06/2009",12.109,12.016,72.28,69.12,3.08
299,"03/06/2009",12.141,11.969,72.25,69.18,3.08
300,"04/06/2009",12.219,11.969,72.31,68.93,3.08
301,"05/06/2009",12.188,12.063,72.81,69.09,3.08
302,"06/06/2009",12.234,12.125,73.28,69.25,3.08
303,"07/06/2009",12.281,12.141,73.53,69.65,3.08
304,"08/06/2009",12.359,12.188,73.68,69.37,3.08
305,"09/06/2009",12.469,12.25,73.78,69.59,3.08
306,"10/06/2009",12.484,12.281,73.34,69.46,3.07
307,"11/06/2009",12.484,12.359,73.21,69.21,3.08
308,"12/06/2009",12.516,12.453,73.43,67.9,3.08
309,"13/06/2009",12.547,12.469,73.12,69.81,3.08
310,"14/06/2009",12.578,12.469,72.96,69.75,3.07
311,"15/06/2009",12.578,12.469,72.87,69.96,3.07
312,"16/06/2009",12.594,12.484,72.78,70.06,3.07
313,"17/06/2009",12.594,12.484,72.56,69.87,3.08
314,"18/06/2009",12.547,12.453,72.9,66.62,3.08
315,"19/06/2009",12.578,12.453,73,69.81,3.08
316,"20/06/2009",12.609,12.469,73.59,70.15,3.07
317,"21/06/2009",12.703,12.516,74.03,69.71,3.07
318,"22/06/2009",12.766,12.578,74.09,69.46,3.08
319,"23/06/2009",12.813,12.609,74.12,69.18,3.08
320,"24/06/2009",12.938,12.703,74.03,68.56,3.08
321,"25/06/2009",13.125,12.781,73.9,68.5,3.08
322,"26/06/2009",13.219,12.953,73.87,68.65,3.08
323,"27/06/2009",13.297,13.094,74.12,68.81,3.08
324,"28/06/2009",13.359,13.156,73.65,69.09,3.08
325,"29/06/2009",13.453,13.25,73.59,69.34,3.08
326,"30/06/2009",13.469,13.344,73.56,70.18,3.08
327,"01/07/2009",13.516,13.406,74.21,71.43,3.08
328,"02/07/2009",13.484,13.391,74.28,71.75,3.08
329,"03/07/2009",13.516,13.344,74.37,71.56,3.08
330,"04/07/2009",13.469,13.313,74.56,71.59,3.08
331,"05/07/2009",13.469,13.281,75.34,71.21,3.08
332,"06/07/2009",13.422,13.063,75.96,66.53,3.07
333,"07/07/2009",13.391,12.984,75.65,71.65,3.07
334,"08/07/2009",13.281,13,75.37,69.96,3.07
335,"09/07/2009",13.359,13.047,75.62,70.93,3.07
336,"10/07/2009",13.484,13.109,75.84,71.31,3.07
337,"11/07/2009",13.578,13.219,76.09,68.93,3.07
338,"12/07/2009",13.547,13.234,75.9,71.5,3
339,"13/07/2009",13.484,13.156,74.5,27.4,3.06
340,"14/07/2009",13.453,13.172,111.56,43.53,3.06
341,"15/07/2009",13.422,13.109,111.56,111.56,3.06
342,"16/07/2009",13.406,13.094,111.56,111.56,3.06
343,"17/07/2009",13.391,13.047,111.56,111.56,3.06
344,"18/07/2009",13.219,13,111.56,111.56,3.06
345,"19/07/2009",13.25,13,111.56,111.56,3.05
346,"20/07/2009",13.359,13,111.56,111.56,3.04
347,"21/07/2009",13.469,13,111.56,111.56,2.9
348,"22/07/2009",13.547,13.125,111.56,111.56,3.06
349,"23/07/2009",13.766,13.313,111.56,111.56,3.03
350,"24/07/2009",13.953,13.422,111.56,111.56,2.97
351,"25/07/2009",14.094,13.641,111.56,111.56,2.94
352,"26/07/2009",14.125,13.828,111.56,111.56,3.07
353,"27/07/2009",14.156,13.938,111.56,111.56,3.06
354,"28/07/2009",14.172,14,111.56,111.56,3.07
355,"29/07/2009",14.156,14.047,111.56,111.56,3.07
356,"30/07/2009",14.172,14.063,111.56,111.56,3.07
357,"31/07/2009",14.172,14.063,111.56,111.56,3.06
358,"01/08/2009",14.188,14.063,111.56,111.56,3.06
359,"02/08/2009",14.406,14.094,111.56,111.56,3.06
360,"03/08/2009",14.484,14.109,111.56,111.56,3.06
361,"04/08/2009",14.594,14.063,111.56,107.75,3.06
362,"05/08/2009",14.766,14.156,107.87,104.37,3.06
363,"06/08/2009",14.766,14.25,108.71,104.25,3.06
364,"07/08/2009",14.781,14.172,108.34,97.75,3.06
365,"08/08/2009",14.844,14.094,97.75,92.68,3.06
366,"09/08/2009",14.875,14.063,93.09,91,3.06
367,"10/08/2009",14.891,14.156,94.43,90.71,3.06
368,"11/08/2009",14.922,14.25,91.12,86,3.06
369,"12/08/2009",14.922,14.359,86,83.9,3.06
370,"13/08/2009",14.828,14.406,84.75,78.25,3.06
371,"14/08/2009",14.828,14.484,78.21,76.65,3.06
372,"15/08/2009",14.75,14.484,79.34,76.06,3.06
373,"16/08/2009",14.688,14.484,76.06,72.81,3.06
374,"17/08/2009",14.75,14.531,72.81,71,3.06
375,"18/08/2009",14.922,14.594,76.37,68.06,3.06
376,"19/08/2009",15.125,14.469,92.71,76.37,2.78
377,"20/08/2009",15.219,14.594,90.68,75.9,2.8
378,"21/08/2009",15.422,14.844,75.9,61.34,2.77
379,"22/08/2009",15.516,15.047,61.34,54.09,2.77
380,"23/08/2009",15.609,15.188,54.12,50.15,2.69
381,"24/08/2009",15.641,15.297,50.15,47.28,3.03
382,"25/08/2009",15.719,15.344,47.28,44.59,3.03
383,"26/08/2009",15.719,15.375,44.62,42.21,3.03
384,"27/08/2009",15.688,15.422,42.21,38.96,2.53
385,"28/08/2009",15.688,15.313,38.96,35.75,3.06
386,"29/08/2009",15.484,15.313,35.78,33.37,3.06
387,"30/08/2009",15.531,15.422,33.53,33.03,3.06
388,"31/08/2009",15.547,15.375,35.53,33.53,3.06
389,"01/09/2009",15.531,15.422,37.62,35.5,3.06
390,"02/09/2009",15.766,15.516,38.78,37.56,3.06
391,"03/09/2009",16.063,15,39.4,38.78,3.06
392,"04/09/2009",16.141,15.016,39.56,39.28,3.06
393,"05/09/2009",16.063,15.281,39.53,38.78,3.06
394,"06/09/2009",15.953,15.453,38.78,37.43,3.06
395,"07/09/2009",16.016,15.609,37.43,36.4,3.06
396,"08/09/2009",16.063,15.609,36.4,35.34,3.06
397,"09/09/2009",16.016,15.641,35.34,34.31,3.06
398,"10/09/2009",16,15.703,34.31,33.03,3.06
399,"11/09/2009",15.906,15.703,33.03,31.81,3.06
400,"12/09/2009",15.875,15.688,31.84,30.75,3.06
401,"13/09/2009",15.813,15.688,30.75,30.09,3.06
402,"14/09/2009",15.766,15.609,30.09,30,3.06
403,"15/09/2009",15.813,15.641,30.09,29.84,3.06
404,"16/09/2009",15.813,15.688,30.37,29.93,3.06
